SPDES Permit Number,Outfall Number,CSO Identification Number,Facility Name,Facility Owner Name,Receiving Waterbody Name,Number of Permitted Outfalls,Discharge Activation Type,Number of Overflow Events,Timeframe of Overflow Events Information,Data as of,Link to Real-time Information,DEC Region,County,Latitude,Longtitude,Location 1,NYS Municipal Boundaries,New York Zip Codes,Counties
NY0022039,10,NY0022039-010,Hudson STP,City of Hudson,Hudson River,8,Model,< 6 annually,Predicted annual average,2015,,4,Columbia,42.258056,-73.793333,"{'latitude': '42.258056', 'longitude': '-73.793333'}",515,977,619
NY0028339,23,NY0028339-023,Frank E. VanLare STP,"Rochester Pure Waters District, Monroe County",Genesse River,6,Observation,No Data,No Data,2015,,8,Monroe,43.128611,-77.631944,"{'latitude': '43.128611', 'longitude': '-77.631944'}",537,1686,2093
NY0099309,26,NY0099309-026,Troy CSO,City of Troy,Hudson River,49,Model,62,5 year average,2015,,4,Rensselaer,42.736389,-73.688333,"{'latitude': '42.736389', 'longitude': '-73.688333'}",110,11,2138
NY0027081,37,NY0027081-037,Syracuse Metro WWTP,Onondaga County Dept. of Drainaage and Sanitation,Onondaga Creek,62,Model,http://cso.savetherain.us/,"Predictive model based on rainfall, see website",2015,,7,Onondaga,43.042222,-76.155,"{'latitude': '43.042222', 'longitude': '-76.155'}",687,711,2132
NY0026191,15,NY0026191-015,NYCDEP - Hunt's Point WPCP,NYC DEP,Westchester Creek,33,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Bronx,40.837294,-73.839303,"{'latitude': '40.837294', 'longitude': '-73.839303'}",307,678,2032
NY0031194,6,NY0031194-006,Massena WWTP,Village of Massena,Grasse River,9,Monitoring,5,2013,2015,,6,St. Lawrence,44.938333,-74.876389,"{'latitude': '44.938333', 'longitude': '-74.876389'}",321,1585,2140
NY0027081,73,NY0027081-073,Syracuse Metro WWTP,Onondaga County Dept. of Drainaage and Sanitation,Teall Brook,62,Model,http://cso.savetherain.us/,"Predictive model based on rainfall, see website",2015,,7,Onondaga,43.078333,-76.123611,"{'latitude': '43.078333', 'longitude': '-76.123611'}",690,726,2132
NY0099309,15,NY0099309-015,Troy CSO,City of Troy,Hudson River,49,Model,44,5 year average,2015,,4,Rensselaer,42.77,-73.681111,"{'latitude': '42.77', 'longitude': '-73.681111'}",110,12,2030
NY0026336,8,NY0026336-008,Niagara Falls WWTP,Niagara Falls Water Board,Niagara River,9,Observation,No Data,No Data,2015,,9,Niagara,43.110556,-79.058056,"{'latitude': '43.110556', 'longitude': '-79.058056'}",159,169,
NY0026689,18,NY0026689-018,Yonkers Joint WWTP,Westchester County Department of Environmental Facilities,Hudson River,4,Observation,No Data,No Data,2015,,3,Westchester,40.923611,-73.905278,"{'latitude': '40.923611', 'longitude': '-73.905278'}",948,1444,2185
NY0028410,40,NY0028410-040,Bird Island WWTF,Buffalo Sewer Authority,Cazevonia Creek,52,Observation,No Data,No Data,2015,,9,Erie,42.854167,-78.812778,"{'latitude': '42.854167', 'longitude': '-78.812778'}",300,66,2041
NY0022039,5,NY0022039-005,Hudson STP,City of Hudson,Hudson River,8,Model,< 6 annually,Predicted annual average,2015,,4,Columbia,42.253056,-73.798611,"{'latitude': '42.253056', 'longitude': '-73.798611'}",515,977,619
NY0028410,8,NY0028410-008,Bird Island WWTF,Buffalo Sewer Authority,Black Rock Canal,52,Model,39,Average year,2015,,9,Erie,42.920833,-78.9,"{'latitude': '42.920833', 'longitude': '-78.9'}",300,69,2041
NY0026204,25,NY0026204-025,NYCDEP - Newtown Creek WPCP,NYC DEP,East River,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Kings,40.733755,-73.962342,"{'latitude': '40.733755', 'longitude': '-73.962342'}",894,901,2090
NY0099309,39,NY0099309-039,Troy CSO,City of Troy,Hudson Ruver,49,Model,37,5 year average,2015,,4,Rensselaer,42.719167,-73.699167,"{'latitude': '42.719167', 'longitude': '-73.699167'}",110,11,2030
NY0027073,3,NY0027073-003,NYCDEP - Red Hook WPCP,NYC DEP,East River,32,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Kings,40.705788,-73.981136,"{'latitude': '40.705788', 'longitude': '-73.981136'}",749,,2095
NY0035742,5,NY0035742-005,Chemung County-Elmira S.D. STP,Chemung County-Elmira Sewer District,Chemung River,11,Observation,12,2013,2015,,8,Chemung,42.086944,-76.809167,"{'latitude': '42.086944', 'longitude': '-76.809167'}",485,926,2036
NY0026247,52,NY0026247-052,NYCDEP - North River WPCF,NYC DEP,Hudson River,52,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,New York,40.75672,-74.005843,"{'latitude': '40.75672', 'longitude': '-74.005843'}",749,741,2095
NY0027081,46,NY0027081-046,Syracuse Metro WWTP,Onondaga County Dept. of Drainaage and Sanitation,Onondaga Creek,62,Model,http://cso.savetherain.us/,"Predictive model based on rainfall, see website",2015,,7,Onondaga,43.028333,-76.162778,"{'latitude': '43.028333', 'longitude': '-76.162778'}",687,725,2132
NY0031429,48,NY0031429-048,Utica CSO,City of Utica,Nail Creek,47,Observation,21,May 2008 - April 2009,2015,,6,Oneida,43.103333,-75.247222,"{'latitude': '43.103333', 'longitude': '-75.247222'}",984,1465,625
NY0026107,3,NY0026107-003,NYCDEP - Port Richmond WPCF,NYC DEP,Kill Van Kull,36,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Richmond,40.641517,-74.118397,"{'latitude': '40.641517', 'longitude': '-74.118397'}",585,613,2139
NY0025984,5,NY0025984-005,Watertown WPCP,City of Watertown,Black River,16,Monitoring,0,2013,2015,,6,Jefferson,43.984444,-75.925556,"{'latitude': '43.984444', 'longitude': '-75.925556'}",841,1466,2089
NY0026204,59,NY0026204-059,NYCDEP - Newtown Creek WPCP,NYC DEP,East River,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Kings,40.71252,-73.976113,"{'latitude': '40.71252', 'longitude': '-73.976113'}",749,,2095
NY0025747,24,NY0025747-024,Albany CSO,Albany Water Board,Hudson River,12,Model,39,5 year average,2015,,4,Albany,42.646667,-73.748056,"{'latitude': '42.646667', 'longitude': '-73.748056'}",814,44,2030
NY0027081,40,NY0027081-040,Syracuse Metro WWTP,Onondaga County Dept. of Drainaage and Sanitation,Onondaga Creek,62,Model,http://cso.savetherain.us/,"Predictive model based on rainfall, see website",2015,,7,Onondaga,43.036389,-76.155278,"{'latitude': '43.036389', 'longitude': '-76.155278'}",687,711,2132
NY0026310,11,NY0026310-011,Newburgh WPCP,City of Newburgh,Hudson River,13,Monitoring,42,2013,2015,,3,Orange,41.505278,-74.004722,"{'latitude': '41.505278', 'longitude': '-74.004722'}",891,987,2134
NY0029831,004B,NY0029831-004B,Ogdensburg WWTP,City of Ogdensburg,St. Lawrence River,16,Observation,0,2013,2015,,6,St. Lawrence,44.700278,-75.495278,"{'latitude': '44.700278', 'longitude': '-75.495278'}",318,,2140
NY0026204,24,NY0026204-024,NYCDEP - Newtown Creek WPCP,NYC DEP,Newtown Creek,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Kings,40.735768,-73.961039,"{'latitude': '40.735768', 'longitude': '-73.961039'}",894,901,2090
NY0026239,3,NY0026239-003,NYCDEP - Tallmans Island WPCP,NYC DEP,Powell's Cove,22,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Queens,40.792975,-73.829274,"{'latitude': '40.792975', 'longitude': '-73.829274'}",196,,2137
NY0026191,24,NY0026191-024,NYCDEP - Hunt's Point WPCP,NYC DEP,Hutchinson River,33,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Bronx,40.887805,-73.824326,"{'latitude': '40.887805', 'longitude': '-73.824326'}",307,679,2032
NY0099309,013A,NY0099309-013A,Troy CSO,City of Troy,Hudson River,49,Model,65,5 year average,2015,,4,Rensselaer,42.772222,-73.680278,"{'latitude': '42.772222', 'longitude': '-73.680278'}",110,12,2030
NY0027057,8,NY0027057-008,Lockport WWTP,City of Lockport,Barge Canal,12,Observation,No Data,No Data,2015,,9,Niagara,43.168889,-78.696111,"{'latitude': '43.168889', 'longitude': '-78.696111'}",163,930,2131
NY0026107,25,NY0026107-025,NYCDEP - Port Richmond WPCF,NYC DEP,Newark Bay,36,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Richmond,40.641222,-74.165782,"{'latitude': '40.641222', 'longitude': '-74.165782'}",585,606,
NY0029807,2,NY0029807-002,Canastota WPCF,Village of Canastota,Canastota Creek,1,Monitoring,6,2013,2015,,7,Madison,43.089444,-75.757778,"{'latitude': '43.089444', 'longitude': '-75.757778'}",136,351,2092
NY0027081,47,NY0027081-047,Syracuse Metro WWTP,Onondaga County Dept. of Drainaage and Sanitation,Onondaga Creek,62,Model,http://cso.savetherain.us/,"Predictive model based on rainfall, see website",2015,,7,Onondaga,43.0275,-76.159167,"{'latitude': '43.0275', 'longitude': '-76.159167'}",687,725,2132
NY0099309,5,NY0099309-005,Troy CSO,City of Troy,Hudson River,49,Model,55,5 year average,2015,,4,Rensselaer,42.782222,-73.676111,"{'latitude': '42.782222', 'longitude': '-73.676111'}",110,12,2138
NY0028410,6,NY0028410-006,Bird Island WWTF,Buffalo Sewer Authority,Black Rock Canal,52,Model,65,Average year,2015,,9,Erie,42.922222,-78.891389,"{'latitude': '42.922222', 'longitude': '-78.891389'}",300,69,2041
NY0026204,54,NY0026204-054,NYCDEP - Newtown Creek WPCP,NYC DEP,East River,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Kings,40.722615,-73.972544,"{'latitude': '40.722615', 'longitude': '-73.972544'}",749,724,2095
NY0028410,9,NY0028410-009,Bird Island WWTF,Buffalo Sewer Authority,Black Rock Canal,52,Observation,No Data,No Data,2015,,9,Erie,42.918889,-78.900833,"{'latitude': '42.918889', 'longitude': '-78.900833'}",300,69,2041
NY0026131,17,NY0026131-017,NYCDEP - Wards Island WPCP,NYC DEP,East River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,New York,40.782584,-73.943387,"{'latitude': '40.782584', 'longitude': '-73.943387'}",749,,2095
NY0026158,22,NY0026158-022,NYCDEP - Bowery Bay WPCP,NYC DEP,East River,44,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Queens,40.748041,-73.954832,"{'latitude': '40.748041', 'longitude': '-73.954832'}",196,873,2095
NY0026212,4,NY0026212-004,NYCDEP - 26th Ward,NYC DEP,Fresh Creek Basin,4,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Kings,40.654431,-73.879673,"{'latitude': '40.654431', 'longitude': '-73.879673'}",894,885,2090
NY0026204,58,NY0026204-058,NYCDEP - Newtown Creek WPCP,NYC DEP,East River,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Kings,40.715925,-73.974537,"{'latitude': '40.715925', 'longitude': '-73.974537'}",749,,2095
NY0026247,14,NY0026247-014,NYCDEP - North River WPCF,NYC DEP,Harlem River,52,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,New York,40.861941,-73.916938,"{'latitude': '40.861941', 'longitude': '-73.916938'}",749,,2095
NY0026158,6,NY0026158-006,NYCDEP - Bowery Bay WPCP,NYC DEP,Flushing Bay,44,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Queens,40.760166,-73.854593,"{'latitude': '40.760166', 'longitude': '-73.854593'}",196,838,2137
NY0026131,61,NY0026131-061,NYCDEP - Wards Island WPCP,NYC DEP,Harlem River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,New York,40.840386,-73.930475,"{'latitude': '40.840386', 'longitude': '-73.930475'}",749,,2095
NY0099309,3,NY0099309-003,Troy CSO,City of Troy,Hudson River,49,Model,53,5 year average,2015,,4,Rensselaer,42.784444,-73.674722,"{'latitude': '42.784444', 'longitude': '-73.674722'}",110,12,2138
NY0183695,3,NY0183695-003,Washington County S.D. 2 STP,Washington County,Bond Creek,11,Model,136,5 year average,2015,,5,Washington,43.264722,-73.578611,"{'latitude': '43.264722', 'longitude': '-73.578611'}",726,92,2184
NY0026204,77,NY0026204-077,NYCDEP - Newtown Creek WPCP,NYC DEP,Hudson River,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Kings,40.723602,-73.920403,"{'latitude': '40.723602', 'longitude': '-73.920403'}",196,847,2137
NY0028410,47,NY0028410-047,Bird Island WWTF,Buffalo Sewer Authority,Cazevonia Creek,52,Model,44,Average year,2015,,9,Erie,42.859722,-78.822778,"{'latitude': '42.859722', 'longitude': '-78.822778'}",300,66,2041
NY0026204,52,NY0026204-052,NYCDEP - Newtown Creek WPCP,NYC DEP,East River,79,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Kings,40.72678,-73.971606,"{'latitude': '40.72678', 'longitude': '-73.971606'}",749,724,2095
NY0026131,67,NY0026131-067,NYCDEP - Wards Island WPCP,NYC DEP,Harlem River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,New York,40.806531,-73.930418,"{'latitude': '40.806531', 'longitude': '-73.930418'}",307,650,2095
NY0026221,31,NY0026221-031,NYCDEP - Rockaway WWTP,NYC DEP,Mott Basin,10,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Queens,40.610375,-73.755786,"{'latitude': '40.610375', 'longitude': '-73.755786'}",196,1027,2137
NY0022039,7,NY0022039-007,Hudson STP,City of Hudson,South Bay,8,Model,< 6 annually,Predicted annual average,2015,,4,Columbia,42.249167,-73.795833,"{'latitude': '42.249167', 'longitude': '-73.795833'}",515,977,619
NY0026310,8,NY0026310-008,Newburgh WPCP,City of Newburgh,Hudson River,13,Monitoring,0,2013,2015,,3,Orange,41.5,-74.005,"{'latitude': '41.5', 'longitude': '-74.005'}",891,,2134
NY0031429,3,NY0031429-003,Utica CSO,City of Utica,Ballou Creek,47,Observation,11,May 2008 - April 2009,2015,,6,Oneida,43.085556,-75.239167,"{'latitude': '43.085556', 'longitude': '-75.239167'}",984,1464,625
NY0026255,9,NY0026255-009,Poughkeepsie WPCP,City of Poughkeepsie,Hudson River,6,Monitoring,4,2013,2015,,3,Dutchess,41.709444,-73.941389,"{'latitude': '41.709444', 'longitude': '-73.941389'}",588,,2040
NY0027073,33,NY0027073-033,NYCDEP - Red Hook WPCP,NYC DEP,Gowanus Canal,32,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Kings,40.681317,-73.986912,"{'latitude': '40.681317', 'longitude': '-73.986912'}",894,895,2090
NY0026158,2,NY0026158-002,NYCDEP - Bowery Bay WPCP,NYC DEP,Rikers Island Channel,44,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Queens,40.779511,-73.892491,"{'latitude': '40.779511', 'longitude': '-73.892491'}",196,,2137
NY0026336,7,NY0026336-007,Niagara Falls WWTP,Niagara Falls Water Board,Niagara River,9,Observation,No Data,No Data,2015,,9,Niagara,43.107222,-79.056944,"{'latitude': '43.107222', 'longitude': '-79.056944'}",159,169,2131
NY0026247,44,NY0026247-044,NYCDEP - North River WPCF,NYC DEP,Hudson River,52,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,New York,40.823259,-73.956614,"{'latitude': '40.823259', 'longitude': '-73.956614'}",749,758,2095
NY0028410,54,NY0028410-054,Bird Island WWTF,Buffalo Sewer Authority,Niagara River,52,Model,0,Average year,2015,,9,Erie,42.951944,-78.91,"{'latitude': '42.951944', 'longitude': '-78.91'}",300,,2041
NY0031194,10,NY0031194-010,Massena WWTP,Village of Massena,Grasse River,9,Monitoring,0,2013,2015,,6,St. Lawrence,44.931944,-74.894444,"{'latitude': '44.931944', 'longitude': '-74.894444'}",321,1585,2140
NY0026131,50,NY0026131-050,NYCDEP - Wards Island WPCP,NYC DEP,Harlem River,74,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,New York,40.82885,-73.934538,"{'latitude': '40.82885', 'longitude': '-73.934538'}",749,,2095
NY0026191,16,NY0026191-016,NYCDEP - Hunt's Point WPCP,NYC DEP,Westchester Creek,33,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Bronx,40.828342,-73.84222,"{'latitude': '40.828342', 'longitude': '-73.84222'}",307,678,2032
NY0099309,43,NY0099309-043,Troy CSO,City of Troy,Hudson River,49,Model,29,5 year average,2015,,4,Rensselaer,42.711667,-73.701944,"{'latitude': '42.711667', 'longitude': '-73.701944'}",110,11,2030
NY0026204,81,NY0026204-081,NYCDEP - Newtown Creek WPCP,NYC DEP,Hudson River,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Kings,40.733507,-74.010861,"{'latitude': '40.733507', 'longitude': '-74.010861'}",749,738,2095
NY0026204,88,NY0026204-088,NYCDEP - Newtown Creek WPCP,NYC DEP,Newtown Creek (E),79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Kings,40.720134,-73.923886,"{'latitude': '40.720134', 'longitude': '-73.923886'}",196,847,2137
NY0027545,3,NY0027545-003,Clayton Village WTF,Village of Clayton,St. Lawrence River,2,Observation,15,2013,2015,,6,Jefferson,44.243333,-76.086389,"{'latitude': '44.243333', 'longitude': '-76.086389'}",854,1511,2089
NY0026166,19,NY0026166-019,NYCDEP - Owls Head WPCP,NYC DEP,Upper New York Bay,16,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Kings,40.63683,-74.037824,"{'latitude': '40.63683', 'longitude': '-74.037824'}",894,899,
NY0026191,7,NY0026191-007,NYCDEP - Hunt's Point WPCP,NYC DEP,Bronx River,33,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Bronx,40.83899,-73.87864,"{'latitude': '40.83899', 'longitude': '-73.87864'}",307,673,2032
NY0026158,42,NY0026158-042,NYCDEP - Bowery Bay WPCP,NYC DEP,Dutch Kills,44,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Queens,40.738948,-73.943128,"{'latitude': '40.738948', 'longitude': '-73.943128'}",196,873,2137
NY0026107,1,NY0026107-001,NYCDEP - Port Richmond WPCF,NYC DEP,Kill Van Kull,36,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Richmond,40.641355,-74.124855,"{'latitude': '40.641355', 'longitude': '-74.124855'}",585,,2139
NY0027081,59,NY0027081-059,Syracuse Metro WWTP,Onondaga County Dept. of Drainaage and Sanitation,Onondaga Creek,62,Model,http://cso.savetherain.us/,"Predictive model based on rainfall, see website",2015,,7,Onondaga,43.051944,-76.158889,"{'latitude': '43.051944', 'longitude': '-76.158889'}",687,713,2132
NY0027057,7,NY0027057-007,Lockport WWTP,City of Lockport,Barge Canal,12,Observation,No Data,No Data,2015,,9,Niagara,43.169722,-78.694722,"{'latitude': '43.169722', 'longitude': '-78.694722'}",163,930,2131
NY0027057,11,NY0027057-011,Lockport WWTP,City of Lockport,Barge Canal,12,Observation,Eliminated,No Data,2015,,9,Niagara,43.164167,-78.701944,"{'latitude': '43.164167', 'longitude': '-78.701944'}",163,930,2131
NY0026131,8,NY0026131-008,NYCDEP - Wards Island WPCP,NYC DEP,East River,74,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,New York,40.77016,-73.947458,"{'latitude': '40.77016', 'longitude': '-73.947458'}",749,,2095
NY0026239,9,NY0026239-009,NYCDEP - Tallmans Island WPCP,NYC DEP,Little Neck Basin,22,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Queens,40.767458,-73.751594,"{'latitude': '40.767458', 'longitude': '-73.751594'}",196,833,2137
NY0027081,33,NY0027081-033,Syracuse Metro WWTP,Onondaga County Dept. of Drainaage and Sanitation,Onondaga Creek,62,Model,http://cso.savetherain.us/,"Predictive model based on rainfall, see website",2015,,7,Onondaga,43.044444,-76.155278,"{'latitude': '43.044444', 'longitude': '-76.155278'}",687,711,2132
NY0026204,67,NY0026204-067,NYCDEP - Newtown Creek WPCP,NYC DEP,East River,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Kings,40.704939,-74.004394,"{'latitude': '40.704939', 'longitude': '-74.004394'}",749,797,2095
NY0026689,14,NY0026689-014,Yonkers Joint WWTP,Westchester County Department of Environmental Facilities,Hudson River,4,Observation,No Data,No Data,2015,,3,Westchester,40.956944,-73.896389,"{'latitude': '40.956944', 'longitude': '-73.896389'}",948,1441,2185
NY0026204,68,NY0026204-068,NYCDEP - Newtown Creek WPCP,NYC DEP,East River,79,Model,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Kings,40.701932,-74.009412,"{'latitude': '40.701932', 'longitude': '-74.009412'}",749,720,2095
NY0026182,2,NY0026182-002,NYCDEP - Coney Island WPCP,NYC DEP,Rockaway Inlet,4,Monitoring,Visit facility website,"Real-time waterbody advisory, visit website",2015,{'url': 'http://www.nyc.gov/html/dep/html/harborwater/nyc_waterbody_advisory_program.shtml'},2,Kings,40.566089,-73.930763,"{'latitude': '40.566089', 'longitude': '-73.930763'}",196,,2137
